no_langganan,nama_pelanggan,alamat,no_telp,status,golongan,stand_awal,stand_akhir,pemakaian,tagihan,bulan
3990000,Hendra Kusuma,Purwosari 7 Rt2/3,3358795,T,RT 3,9322,9333,11,74800,September 2025
3990000,Hendra Kusuma,Purwosari 7 Rt2/3,3256730,T,RT 3,9333,9344,11,54714,Oktober 2025
3990000,Hendra Kusuma,Purwosari 7 Rt2/3,3655839,T,RT 3,9344,9375,31,178777,November 2025
3990000,Hendra Kusuma,Purwosari 7 Rt2/3,3589492,T,RT 3,9375,9384,9,46314,Desember 2025
3990000,Hendra Kusuma,Purwosari 7 Rt2/3,3778843,T,RT 3,9384,9409,25,165975,Januari 2026
3990000,Hendra Kusuma,Purwosari 7 Rt2/3,3996942,T,RT 3,9409,9419,10,52750,Februari 2026
3990001,Budi Kusuma,Salak 8 Rt4/2,3664685,T,RT 4,4843,4854,11,54505,September 2025
3990001,Budi Kusuma,Salak 8 Rt4/2,3679879,T,RT 4,4854,4865,11,60676,Oktober 2025
3990001,Budi Kusuma,Salak 8 Rt4/2,3374329,Y,RT 4,4865,4876,11,58201,November 2025
3990001,Budi Kusuma,Salak 8 Rt4/2,3616588,T,RT 4,4876,4888,12,80820,Desember 2025
3990001,Budi Kusuma,Salak 8 Rt4/2,3686146,T,RT 4,4888,4899,11,68178,Januari 2026
3990001,Budi Kusuma,Salak 8 Rt4/2,3234633,T,RT 4,4899,4911,12,75552,Februari 2026
3990002,Doni Setiawan,Kinibalu 9 Rt4/2,3591234,T,RT 3,9996,10005,9,49140,September 2025
3990002,Doni Setiawan,Kinibalu 9 Rt4/2,3258338,T,RT 3,10005,10014,9,53865,Oktober 2025
3990002,Doni Setiawan,Kinibalu 9 Rt4/2,3745914,T,RT 3,10014,10024,10,53700,November 2025
3990002,Doni Setiawan,Kinibalu 9 Rt4/2,3318969,T,RT 3,10024,10033,9,49842,Desember 2025
3990002,Doni Setiawan,Kinibalu 9 Rt4/2,3974371,Y,RT 3,10033,10041,8,36760,Januari 2026
3990002,Doni Setiawan,Kinibalu 9 Rt4/2,3298286,T,RT 3,10041,10050,9,61002,Februari 2026
3990003,Dewi Utama,Cerme 2 Rt2/9,3508923,T,RT 3,4627,4636,9,58842,September 2025
3990003,Dewi Utama,Cerme 2 Rt2/9,3910208,T,RT 3,4636,4646,10,67370,Oktober 2025
3990003,Dewi Utama,Cerme 2 Rt2/9,3121959,T,RT 3,4646,4655,9,46881,November 2025
3990003,Dewi Utama,Cerme 2 Rt2/9,3890180,T,RT 3,4655,4664,9,43353,Desember 2025
3990003,Dewi Utama,Cerme 2 Rt2/9,3693128,T,RT 3,4664,4673,9,55179,Januari 2026
3990003,Dewi Utama,Cerme 2 Rt2/9,3539792,T,RT 3,4673,4682,9,57177,Februari 2026
3990004,Lina Utama,Salak 3 Rt1/5,3357426,T,RT 4,5737,5745,8,55456,September 2025
3990004,Lina Utama,Salak 3 Rt1/5,3937291,T,RT 4,5745,5753,8,44608,Oktober 2025
3990004,Lina Utama,Salak 3 Rt1/5,3209751,T,RT 4,5753,5763,10,47020,November 2025
3990004,Lina Utama,Salak 3 Rt1/5,3792517,T,RT 4,5763,5772,9,47394,Desember 2025
3990004,Lina Utama,Salak 3 Rt1/5,3210078,T,RT 4,5772,5781,9,57870,Januari 2026
3990004,Lina Utama,Salak 3 Rt1/5,3455528,T,RT 4,5781,5790,9,45972,Februari 2026
3990005,Rina Wijaya,Bayem 4 Rt3/3,3671542,T,Niaga 1,2734,2769,35,226415,September 2025
3990005,Rina Wijaya,Bayem 4 Rt3/3,3247718,T,Niaga 1,2769,2805,36,220824,Oktober 2025
3990005,Rina Wijaya,Bayem 4 Rt3/3,3475037,Y,Niaga 1,2805,2911,106,617662,November 2025
3990005,Rina Wijaya,Bayem 4 Rt3/3,3292506,T,Niaga 1,2911,2948,37,210271,Desember 2025
3990005,Rina Wijaya,Bayem 4 Rt3/3,3690978,Y,Niaga 1,2948,2984,36,243180,Januari 2026
3990005,Rina Wijaya,Bayem 4 Rt3/3,3488215,Y,Niaga 1,2984,3015,31,204631,Februari 2026
3990006,Dewi Susanto,Kedondong 8 Rt4/6,3736584,T,RT 5,3557,3589,32,174592,September 2025
3990006,Dewi Susanto,Kedondong 8 Rt4/6,3909760,T,RT 5,3589,3617,28,170884,Oktober 2025
3990006,Dewi Susanto,Kedondong 8 Rt4/6,3539430,T,RT 5,3617,3648,31,183365,November 2025
3990006,Dewi Susanto,Kedondong 8 Rt4/6,3930496,T,RT 5,3648,3678,30,154170,Desember 2025
3990006,Dewi Susanto,Kedondong 8 Rt4/6,3500109,T,RT 5,3678,3716,38,210710,Januari 2026
3990006,Dewi Susanto,Kedondong 8 Rt4/6,3234508,T,RT 5,3716,3749,33,223641,Februari 2026
3990007,Yuni Susanto,Salak 1 Rt4/1,3920260,Y,RT 4,8683,8701,18,112824,September 2025
3990007,Yuni Susanto,Salak 1 Rt4/1,3538452,T,RT 4,8701,8720,19,91219,Oktober 2025
3990007,Yuni Susanto,Salak 1 Rt4/1,3218015,T,RT 4,8720,8737,17,96628,November 2025
3990007,Yuni Susanto,Salak 1 Rt4/1,3789944,T,RT 4,8737,8754,17,111605,Desember 2025
3990007,Yuni Susanto,Salak 1 Rt4/1,3258823,T,RT 4,8754,8809,55,290620,Januari 2026
3990007,Yuni Susanto,Salak 1 Rt4/1,3598863,T,RT 4,8809,8829,20,94900,Februari 2026
3990008,Eka Utama,Medoho 3 Rt2/9,3584299,Y,RT 4,3950,3960,10,48990,September 2025
3990008,Eka Utama,Medoho 3 Rt2/9,3506619,T,RT 4,3960,3970,10,56660,Oktober 2025
3990008,Eka Utama,Medoho 3 Rt2/9,3193848,T,RT 4,3970,3980,10,45500,November 2025
3990008,Eka Utama,Medoho 3 Rt2/9,3384821,T,RT 4,3980,3989,9,50832,Desember 2025
3990008,Eka Utama,Medoho 3 Rt2/9,3213632,T,RT 4,3989,3998,9,62919,Januari 2026
3990008,Eka Utama,Medoho 3 Rt2/9,3103051,Y,RT 4,3998,4008,10,60950,Februari 2026
3990009,Hendra Kusuma,Rogojembangan 13 Rt4/3,3834994,T,RT 4,5465,5484,19,101270,September 2025
3990009,Hendra Kusuma,Rogojembangan 13 Rt4/3,3650233,T,RT 4,5484,5501,17,110058,Oktober 2025
3990009,Hendra Kusuma,Rogojembangan 13 Rt4/3,3850201,T,RT 4,5501,5518,17,94877,November 2025
3990009,Hendra Kusuma,Rogojembangan 13 Rt4/3,3763165,T,RT 4,5518,5538,20,112380,Desember 2025
3990009,Hendra Kusuma,Rogojembangan 13 Rt4/3,3765022,T,RT 4,5538,5557,19,98857,Januari 2026
3990009,Hendra Kusuma,Rogojembangan 13 Rt4/3,3566882,T,RT 4,5557,5578,21,142674,Februari 2026
3990010,Putri Wijaya,Lamper 14 Rt4/5,3595972,T,RT 3,7617,7624,7,43799,September 2025
3990010,Putri Wijaya,Lamper 14 Rt4/5,3460260,Y,RT 3,7624,7632,8,50248,Oktober 2025
3990010,Putri Wijaya,Lamper 14 Rt4/5,3109540,T,RT 3,7632,7640,8,44120,November 2025
3990010,Putri Wijaya,Lamper 14 Rt4/5,3466326,Y,RT 3,7640,7649,9,43515,Desember 2025
3990010,Putri Wijaya,Lamper 14 Rt4/5,3249143,T,RT 3,7649,7657,8,42808,Januari 2026
3990010,Putri Wijaya,Lamper 14 Rt4/5,3453824,T,RT 3,7657,7666,9,62343,Februari 2026
3990011,Ahmad Susanto,Lamper 12 Rt3/1,3724674,T,Niaga 3,8723,8904,181,950793,September 2025
3990011,Ahmad Susanto,Lamper 12 Rt3/1,3649639,T,Niaga 3,8904,9076,172,789308,Oktober 2025
3990011,Ahmad Susanto,Lamper 12 Rt3/1,3600328,T,Niaga 3,9076,9250,174,802836,November 2025
3990011,Ahmad Susanto,Lamper 12 Rt3/1,3976020,T,Niaga 3,9250,9456,206,1096950,Desember 2025
3990011,Ahmad Susanto,Lamper 12 Rt3/1,3930857,T,Niaga 3,9456,9651,195,1009125,Januari 2026
3990011,Ahmad Susanto,Lamper 12 Rt3/1,3214352,T,Niaga 3,9651,9839,188,1266932,Februari 2026
3990012,Dewi Rahayu,Kedondong 7 Rt7/5,3664242,T,RT 4,3914,3931,17,88366,September 2025
3990012,Dewi Rahayu,Kedondong 7 Rt7/5,3295004,Y,RT 4,3931,3950,19,93005,Oktober 2025
3990012,Dewi Rahayu,Kedondong 7 Rt7/5,3151934,Y,RT 4,3950,3967,17,88689,November 2025
3990012,Dewi Rahayu,Kedondong 7 Rt7/5,3554137,T,RT 4,3967,3984,17,90950,Desember 2025
3990012,Dewi Rahayu,Kedondong 7 Rt7/5,3861315,Y,RT 4,3984,3999,15,89880,Januari 2026
3990012,Dewi Rahayu,Kedondong 7 Rt7/5,3645977,T,RT 4,3999,4000,1,5565,Februari 2026
3990013,Wahyu Nugroho,Lamper 3 Rt7/2,3314532,T,Niaga 3,1953,2111,158,903286,September 2025
3990013,Wahyu Nugroho,Lamper 3 Rt7/2,3389106,T,Niaga 3,2111,2276,165,980925,Oktober 2025
3990013,Wahyu Nugroho,Lamper 3 Rt7/2,3977699,T,Niaga 3,2276,2442,166,966784,November 2025
3990013,Wahyu Nugroho,Lamper 3 Rt7/2,3303196,T,Niaga 3,2442,2602,160,1009600,Desember 2025
3990013,Wahyu Nugroho,Lamper 3 Rt7/2,3639773,T,Niaga 3,2602,2753,151,685238,Januari 2026
3990013,Wahyu Nugroho,Lamper 3 Rt7/2,3842129,T,Niaga 3,2753,2925,172,886144,Februari 2026
3990014,Eka Kusuma,Purwosari 9 Rt7/1,3342804,Y,RT 5,1504,1527,23,124959,September 2025
3990014,Eka Kusuma,Purwosari 9 Rt7/1,3753983,T,RT 5,1527,1549,22,114048,Oktober 2025
3990014,Eka Kusuma,Purwosari 9 Rt7/1,3831899,T,RT 5,1549,1571,22,103444,November 2025
3990014,Eka Kusuma,Purwosari 9 Rt7/1,3523570,Y,RT 5,1571,1593,22,126500,Desember 2025
3990014,Eka Kusuma,Purwosari 9 Rt7/1,3359214,T,RT 5,1593,1619,26,157274,Januari 2026
3990014,Eka Kusuma,Purwosari 9 Rt7/1,3734421,T,RT 5,1619,1642,23,135608,Februari 2026
3990015,Putri Utama,Karang Kimpul 11 Rt4/8,3520571,T,RT 4,5468,5477,9,45351,September 2025
